theta,phi,areaA,areaB,areaI
0.86415714,6.267606,0.08325577,0.08327484,0.027130127
0.864178,3.8672328,0.08503342,0.08503723,0.006881714
0.864199,1.4668598,0.08567047,0.0856781,0.0
0.86421984,5.3496723,0.085372925,0.08542633,0.0026016235
0.8642408,2.9492993,0.08363724,0.08364868,0.025852203
0.8642617,0.54892635,0.08452606,0.08451843,0.012805939
0.86428267,4.431739,0.08575821,0.085754395,0.0
0.8643036,2.0313659,0.08567047,0.08566284,9.918213E-5
0.8643245,5.9141784,0.08395004,0.08388901,0.02046585
0.86434543,3.5138054,0.083927155,0.083919525,0.020332336
0.86436635,1.1212449,0.08566666,0.085674286,0.0
0.8643873,5.0040574,0.085746765,0.085746765,0.0
0.8644082,2.6036844,0.084487915,0.084487915,0.013225555
0.8644291,0.20331144,0.08362579,0.08363342,0.025611877
0.86445004,4.086124,0.08546448,0.08545303,0.0023956299
0.86447096,1.685751,0.08570099,0.08567047,0.0
0.8644919,5.5685635,0.08498001,0.084983826,0.0071525574
0.8645128,3.1681905,0.08332443,0.083286285,0.027137756
0.8645337,0.7678175,0.085113525,0.08510971,0.0057868958
0.86455464,4.65063,0.085609436,0.085617065,0.0
0.86457556,2.250257,0.085357666,0.08534622,0.003276825
0.8645965,6.1330695,0.08354187,0.08354187,0.026485443
0.8646174,3.7326965,0.08462906,0.08462906,0.0111198425
0.8646383,1.3323236,0.08573532,0.08570862,0.0
0.86465925,5.215136,0.08557129,0.08558655,6.1798096E-4
0.8646802,2.814763,0.083782196,0.08378601,0.022109985
0.86470103,0.4143901,0.08398056,0.0840683,0.018440247
0.86472195,4.2972026,0.085697174,0.085689545,0.0
0.8647429,1.8968296,0.0856781,0.085681915,0.0
0.8647638,5.7874546,0.08429718,0.08430481,0.014972687
0.8647847,3.3870816,0.08366394,0.0836525,0.024616241
0.8648057,0.98670864,0.08550644,0.08548355,0.001750946
0.86482656,4.869521,0.08567047,0.08566666,0.0
0.86484754,2.4691482,0.08480835,0.08484268,0.0083351135
0.86486834,0.06877518,0.08336258,0.08335495,0.027076721
0.8648894,3.9515877,0.085121155,0.085170746,0.004814148
0.8649102,1.5512147,0.08553696,0.08553314,0.0
0.86493117,5.434027,0.08523178,0.085235596,0.004043579
0.864952,3.0336542,0.083423615,0.083423615,0.026866913
0.864973,0.63328123,0.0847168,0.08469772,0.009590149
0.8649938,4.5160937,0.0857048,0.08570099,0.0
0.86501485,2.1157207,0.085510254,0.085510254,0.0011634827
0.86503565,5.9985332,0.08370209,0.08369446,0.023487091
0.86505663,3.5981603,0.08414459,0.08416748,0.01663208
0.8650775,1.1977873,0.08567047,0.08560562,0.0
0.8650985,5.0806,0.08559418,0.08560562,0.0
0.8651193,2.6802268,0.08417511,0.08417511,0.016414642
0.86514026,0.27985382,0.08369064,0.08369064,0.023620605
0.8651611,4.170479,0.085502625,0.08549881,0.0011291504
0.8651821,1.7701058,0.0856514,0.08565521,0.0
0.8652029,5.6529183,0.084724426,0.08471298,0.009700775
0.8652239,3.2525454,0.08340073,0.083415985,0.026802063
0.86524475,0.8521724,0.08522797,0.085235596,0.0039367676
0.8652657,4.734985,0.0855217,0.08551788,0.0
0.86528665,2.334612,0.085121155,0.08512497,0.004852295
0.8653075,6.2174244,0.08330917,0.08331299,0.027015686
0.86532843,3.8170514,0.08480072,0.084789276,0.008201599
0.86534935,1.4166784,0.08561325,0.08561325,0.0
0.8653702,5.299491,0.08541107,0.08540344,0.0017471313
0.86539114,2.899118,0.08359909,0.083595276,0.024620056
0.86541206,0.49874496,0.08426666,0.08427811,0.0147743225
0.8654329,4.3815575,0.08562851,0.08564377,0.0
0.86545384,1.9811845,0.08559036,0.08559036,0.0
0.86547476,5.863997,0.083969116,0.08397293,0.018165588
0.8654956,3.463624,0.08372116,0.08372116,0.022193909
0.86551654,1.063251,0.08552551,0.08552551,6.4086914E-4
0.86553746,4.9460635,0.08562851,0.085632324,0.0
0.8655583,2.553503,0.08451843,0.08452606,0.0111198425
0.86557925,0.15313005,0.08343506,0.083480835,0.026325226
0.86560017,4.0359426,0.08526993,0.085258484,0.0031547546
0.86562103,1.6355696,0.08552933,0.08551407,0.0
0.86564195,5.518382,0.08493805,0.08501053,0.0057678223
0.8656629,3.118009,0.08319855,0.08319855,0.02696228
0.86568373,0.7176361,0.08488083,0.08488846,0.0069465637
0.86570466,4.6004486,0.08557129,0.085567474,0.0
0.8657255,2.2000756,0.08533096,0.085323334,0.002357483
0.86574644,6.082888,0.08351517,0.08350754,0.025520325
0.86576736,3.6825151,0.08438492,0.084358215,0.012950897
0.8657883,1.2821422,0.08560181,0.08559799,0.0
0.86580914,5.1649547,0.085502625,0.08557892,0.0
0.8658301,2.7645817,0.08382034,0.08381271,0.019950867
0.8658509,0.3642087,0.08372116,0.08374405,0.02048111
0.8658719,4.247021,0.085510254,0.08552933,8.010864E-5
0.8658927,1.8466482,0.08562088,0.08561325,0.0
0.8659137,5.7294607,0.08439636,0.08434296,0.012439728
0.8659345,3.3290877,0.08345795,0.083465576,0.025737762
0.8659555,0.93652725,0.08533478,0.08530426,0.0024299622
0.8659763,4.8193398,0.085544586,0.08553696,0.0
0.86599725,2.4189668,0.08485031,0.08483505,0.0067863464
0.86601806,0.018593788,0.08308029,0.08305359,0.02690506
0.86603904,3.9014063,0.08495331,0.08494949,0.0058555603
0.86605984,1.5010333,0.08550644,0.08550644,0.0
0.8660808,5.383846,0.08522415,0.08522797,0.0030326843
0.8661016,2.9834728,0.083408356,0.08338928,0.026165009
0.8661226,0.58309984,0.08446121,0.08446121,0.0112838745
0.8661434,4.4659123,0.08557892,0.08557129,0.0
0.8661644,2.0655394,0.08545685,0.08546448,4.4631958E-4
0.8661852,5.948352,0.08367157,0.083675385,0.021621704
0.86620617,3.5479789,0.08390427,0.08390045,0.018661499
0.866227,1.1476059,0.0855217,0.08551788,0.0
0.86624795,5.0304184,0.085552216,0.08558273,0.0
0.8662688,2.6300454,0.084228516,0.08420181,0.014125824
0.8662897,0.22967243,0.08351135,0.08350372,0.024822235
0.8663106,4.112485,0.08533096,0.08533096,0.0018844604
0.86633146,1.712112,0.08553696,0.08553314,0.0
0.8663524,5.602737,0.08467865,0.08468628,0.007915497
0.86637324,3.202364,0.083179474,0.08317566,0.026901245
0.8663941,0.801991,0.0850029,0.0850029,0.004852295
0.866415,4.6848035,0.085422516,0.08542633,0.0
0.8664359,2.2844305,0.08510208,0.085113525,0.0037612915
0.8664568,6.167243,0.083301544,0.08328247,0.026607513
0.86647767,3.76687,0.08455658,0.08455658,0.00969696
0.86649853,1.366497,0.08553696,0.085552216,0.0
0.86651945,5.2493095,0.085380554,0.08538437,9.803772E-4
0.8665403,2.8489366,0.08356094,0.08358002,0.023040771
0.8665612,0.44856358,0.083984375,0.083984375,0.016788483
0.8665821,4.331376,0.08547974,0.08553314,0.0
0.86660296,1.9310031,0.08564377,0.08538818,0.0
0.8666238,5.8138156,0.084056854,0.084056854,0.015888214
0.86664474,3.4134426,0.0835495,0.08353424,0.023666382
0.8666656,1.0130696,0.08536148,0.08535004,0.0012550354
0.86668646,4.895882,0.08552933,0.08553314,0.0
0.8667074,2.4955091,0.08458328,0.08459473,0.008979797
0.86672825,0.095136166,0.0832634,0.083236694,0.026744843
0.8667491,3.9857612,0.08507538,0.085063934,0.003982544
0.8667701,1.5853882,0.08535385,0.085357666,0.0
0.8667909,5.4682007,0.08501053,0.085006714,0.004562378
0.8668118,3.0678277,0.083171844,0.08316803,0.026802063
0.8668326,0.6674547,0.08463669,0.0846138,0.008281708
0.8668536,4.550267,0.08548355,0.08548355,0.0
0.8668744,2.1498942,0.085315704,0.08528519,0.001537323
0.8668953,6.0327067,0.083488464,0.08348465,0.024238586
0.8669161,3.6323338,0.08408737,0.084095,0.01493454
0.8669371,1.2319608,0.085502625,0.085494995,0.0
0.8669579,5.1147733,0.08547211,0.08547211,0.0
0.8669788,2.7144003,0.08387375,0.08387756,0.017650604
0.8669996,0.3140273,0.08359909,0.08360672,0.022319794
0.8670206,4.19684,0.08536911,0.085380554,6.713867E-4
0.8670414,1.7964668,0.08548355,0.08549118,0.0
0.86706233,5.6792793,0.08442688,0.08441925,0.010387421
0.86708313,3.2789063,0.08324051,0.08324051,0.026302338
0.8671041,0.87853336,0.08508682,0.08509445,0.0033226013
0.86712486,4.761346,0.085372925,0.085372925,0.0
0.86714584,2.3687854,0.0848732,0.08486557,0.0054359436
0.86716664,6.251598,0.08307266,0.083026886,0.026813507
0.86718756,3.851225,0.08470917,0.084724426,0.0070114136
0.86720836,1.4508519,0.08541489,0.08545685,0.0
0.86722934,5.3336644,0.085193634,0.08520126,0.0021476746
0.8672502,2.9332914,0.08337784,0.08337021,0.025177002
0.86727107,0.53291845,0.08419418,0.084198,0.013103485
0.8672919,4.415731,0.08547974,0.085494995,0.0
0.8673128,2.015358,0.08543396,0.08539581,0.0
0.86733365,5.8981705,0.08368683,0.083683014,0.019420624
0.8673545,3.4977975,0.08370209,0.08370209,0.020641327
0.8673754,1.0974245,0.08538818,0.08537674,8.392334E-5
0.8673963,4.980237,0.08544159,0.08544922,0.0
0.86741716,2.579864,0.08429718,0.08427811,0.011920929
0.867438,0.17949104,0.08332443,0.08331299,0.025680542
0.8674589,4.0623035,0.08513641,0.08514404,0.00258255
0.86747974,1.6619306,0.08538818,0.085380554,0.0
0.8675006,5.544743,0.08476639,0.08471298,0.0062408447
0.86752146,3.14437,0.08271408,0.08294296,0.026611328
0.8675423,0.7518096,0.08478165,0.084789276,0.0059013367
0.8675632,4.634622,0.085357666,0.08536148,0.0
0.86758405,2.234249,0.085105896,0.085121155,0.0027885437
0.8676049,6.1170616,0.083278656,0.08327484,0.025882721
0.8676258,3.7166886,0.084300995,0.084308624,0.011314392
0.86764663,1.3163157,0.08545303,0.08546066,0.0
0.8676675,5.199128,0.08533096,0.085323334,2.708435E-4
0.86768836,2.7987552,0.083545685,0.083553314,0.021148682
0.8677092,0.3983822,0.08369827,0.08370209,0.018791199
0.8677301,4.2811947,0.08538437,0.08537674,0.0
0.86775106,1.8808217,0.085430145,0.085437775,0.0
